Year,NDVI,,,
1981.9826007326005, 0.5790233842674476,,,
1982.9917582417581, 0.5762739569137986,,,
1983.966117216117, 0.6186425382005857,,,
1984.9578754578754, 0.6261829858795558,,,
1986.0018315018315, 0.6178933862970801,,,
1986.9935897435896, 0.6377029632636493,,,
1987.9679487179485, 0.5882509640755023,,,
1988.9597069597069, 0.6136014381396967,,,
1989.951465201465, 0.6045191945257908,,,
1990.9432234432234, 0.6278907767694046,,,
1992.0045787545787, 0.6291002203601148,,,
1992.9789377289376, 0.6172471657629969,,,
1994,,,,
1994.962454212454, 0.6252040505668474,,,
1995.9542124542124, 0.6042484560294586,,,
1996.9633699633698, 0.6454304270926962,,,
1997.9899267399267, 0.6426813621734465,,,
1998.9816849816848, 0.6442851343906753,,,
1999.9908424908424, 0.611060773000087,,,
2000.9826007326005, 0.5802107193597958,,,