Year,Soil Moisture,,,
1982, 463.93442622950823,,,
1983.029906542056, 436.0655737704919,,,
1983.988785046729, 450.81967213114757,,,
1985.018691588785, 384.4262295081968,,,
1985.9953271028037, 454.9180327868853,,,
1987.007476635514, 401.6393442622951,,,
1987.9485981308412, 299.1803278688525,,,
1988.9785046728973, 322.95081967213116,,,
1990.026168224299, 445.9016393442623,,,
1990.985046728972, 425.4098360655738,,,
1992.0149532710282, 414.75409836065575,,,
1992.973831775701, 554.0983606557378,,,
1994.003738317757, 398.36065573770503,,,
1995.0336448598132, 424.5901639344263,,,
1995.992523364486, 395.90163934426243,,,
1997.0224299065421, 307.3770491803279,,,
1997.981308411215, 376.2295081967213,,,
1998.9757009345794, 404.9180327868853,,,
1999.970093457944, 366.3934426229509,,,
2000.9822429906542, 413.1147540983607,,,