Year,Surface Temperature,,,
1982, 292.3600183486239,,,
1983, 293.36104587155967,,,
1984, 292.28203669724775,,,
1985, 292.56313761467896,,,
1986, 292.86420183486246,,,
1987, 293.5852477064221,,,
1988, 294.4462935779817,,,
1989, 292.1673394495413,,,
1990, 292.8684036697248,,,
1991, 293.66944954128445,,,
1992, 291.41049541284406,,,
1993, 291.75155963302757,,,
1994, 292.6526055045872,,,
1995, 292.5736513761468,,,
1996, 292.07469724770647,,,
1997, 292.3157431192661,,,
1998, 293.99680733944956,,,
1999, 293.4378532110092,,,
2000, 293.65889908256884,,,
2001, 293.13998165137616,,,